# All techniques by black belt patterns
Patterns    Kwang-Gae   Po-Eun    Ge-Baek   Eui-Am    Choong-Jang   Juche
Blocks      17          16        22        20        17            16
Punches     7           8         10        13        10            5
Strikes     6           4         4         4         12            11
Thrusts     2           6         2         0         7             3
