# All techniques by color belt patterns
Patterns  Chon-Ji   Dan-Gun   Do-San    Won-Hyo   Yul-Gok   Joong-Gun   Toi-Gae   Hwa-Rang    Choong-Moo
Blocks    8         10        9         13        14        15          21        13          16
Punches   11        9         8         6         13        7           4         10          1
Strikes   0         2         4         4         3         4           4         2           4
Thrusts   0         0         1         1         2         0           4         2           3
