# Right techniques by stances except walking, sitting and L
Stances   Fixed   Close   Low   RearFoot    X   OneLeg    Diagonal    BendingReadyStanceA       BendingReadyStanceB       Parallel    Vertical
Blocks    3       3       4     6           5   2         1           3                         0                         0           0
Punches   3       3       0     0           0   1         0           0                         0                         1           0
Strikes   0       3       0     0           2   0         0           0                         0                         0           1
Thrusts   0       2       2     2           0   0         0           0                         0                         0           0
