# All techniques by stances
Stances   L   Walking   Fixed   Sitting   Close   Low   Rear Foot   X   One Leg   Diagonal    Bending Ready Stance A    Bending Ready Stance B    Parallel    Vertical
Blocks    80  80        3       30        3       4     10          8   2         1           6                         0                         0           0
Punches   13  78        5       17        4       0     0           0   2         0           0                         0                         2           0
Strikes   21  23        0       13        5       0     0           5   0         0           0                         0                         0           1
Thrusts   4   15        0       4         2       5     3           0   0         0           0                         0                         0           0
