# Left techniques by black belt patterns
Patterns    Kwang-Gae   Po-Eun    Ge-Baek   Eui-Am    Choong-Jang   Juche
Blocks      9           12        16        12        11            11
Punches     5           4         6         6         5             2
Strikes     3           2         1         3         5             7
Thrusts     1           4         1         0         3             1
