# Left techniques by motion type except normal motion
Motions   Flying    Fast    Slow    Sliding   Stamping    Continuous    Jumping   Consecutive   Connecting    Skipping    Dodging   DoubleStepping    Shifting
Blocks    0         1       5       3         6           16            1         0             3             0           1         1                 1
Punches   0         9       4       0         4           3             0         0             1             0           0         0                 0
Strikes   0         0       1       0         6           0             4         0             0             0           0         0                 0
Thrusts   0         0       3       2         0           2             0         0             0             0           0         0                 0
