# All techniques by motion type
Motions   Normal    Flying    Fast    Slow    Sliding   Stamping    Continuous    Jumping   Consecutive   Connecting    Skipping    Dodging   DoubleStepping    Shifting
Blocks    168       1         1       6       5         8           18            2         0             4             0           2         2                 4
Punches   84        1         17      7       1         4           5             0         1             3             0           0         0                 0
Strikes   51        0         0       1       0         8           0             7         0             0             0           0         0                 0
Thrusts   17        0         0       6       6         0           4             0         0             0             0           0         0                 0
