# Left techniques by pattern
Patterns  Chon-Ji   Dan-Gun   Do-San    Won-Hyo   Yul-Gok   Joong-Gun   Toi-Gae   Hwa-Rang    Choong-Moo    Kwang-Gae   Po-Eun    Ge-Baek   Eui-Am    Choong-Jang   Juche
Blocks    4         7         6         9         8         10          13        11          9             9           12        16        12        11            11
Punches   5         3         4         3         6         4           1         5           1             5           4         6         6         5             2
Strikes   0         1         2         2         2         2           3         0           1             3           2         1         3         5             7
Thrusts   0         0         0         0         1         0           2         0           1             1           4         1         0         3             1
