# Left techniques by motion type
Motions   Normal    Flying    Fast    Slow    Sliding   Stamping    Continuous    Jumping   Consecutive   Connecting    Skipping    Dodging   DoubleStepping    Shifting
Blocks    105       0         1       5       3         6           16            1         0             3             0           1         1                 1
Punches   39        0         9       4       0         4           3             0         0             1             0           0         0                 0
Strikes   23        0         0       1       0         6           0             4         0             0             0           0         0                 0
Thrusts   7         0         0       3       2         0           2             0         0             0             0           0         0                 0
